episode,steps,ep_reward,avg_speed,total_energy,wiggle,safety,success,reason,total_timestep
396,3,-198.844,20.234,335.689,0.000,0.283,0,collision,1125
397,2,50.511,13.162,139.603,0.000,0.010,1,goal,1127
398,2,-199.753,11.953,71.024,0.000,0.327,0,collision,1129
399,3,-199.102,9.726,221.003,0.200,0.482,0,collision,1132
400,1,0.000,0.000,0.000,0.000,0.000,0,not_found,1133
401,4,51.389,16.022,393.552,0.062,0.191,1,goal,1137
402,2,-200.291,12.142,82.292,0.000,0.500,0,collision,1139
403,1,0.000,0.000,0.000,0.000,0.000,0,not_found,1140
404,1,0.000,0.000,0.000,0.000,0.000,0,not_found,1141
405,2,-199.863,11.810,69.807,0.000,0.390,0,collision,1143
406,2,-199.386,14.069,137.773,0.000,0.234,0,collision,1145
407,3,-198.839,20.909,402.731,0.000,0.000,0,collision,1148
408,1,0.000,0.000,0.000,0.000,0.000,0,not_found,1149
409,1,0.000,0.000,0.000,0.000,0.000,0,not_found,1150
410,7,42.246,2.999,143.801,0.000,0.017,1,goal,1157
411,3,-198.556,20.980,421.712,0.000,0.048,0,collision,1160
412,4,-198.199,26.320,425.622,0.000,0.193,0,collision,1164
413,1,49.912,4.191,5.366,0.000,0.000,1,goal,1165
414,2,50.859,14.855,208.566,0.000,0.000,1,goal,1167
415,3,50.911,10.172,232.400,0.320,0.000,1,goal,1170
416,2,50.424,11.945,80.461,0.000,0.017,1,goal,1172
417,2,50.594,13.363,142.209,0.000,0.000,1,goal,1174
418,2,50.566,12.714,109.589,0.000,0.073,1,goal,1176
419,1,-200.162,6.530,26.541,0.000,0.000,0,collision,1177
420,1,0.000,0.000,0.000,0.000,0.000,0,not_found,1178
421,2,-199.515,12.241,93.513,0.000,0.434,0,collision,1180
422,1,50.222,6.704,31.917,0.000,0.000,1,goal,1181
423,1,49.820,5.082,20.094,0.000,0.000,1,goal,1182
424,4,-197.848,26.961,418.147,0.000,0.000,0,collision,1186
425,4,51.695,26.901,399.584,0.000,0.004,1,goal,1190
426,5,-47.180,31.979,471.332,0.000,0.000,1,goal,1195
427,2,50.435,11.893,79.973,0.000,0.000,1,goal,1197
428,4,51.565,25.740,410.847,0.000,0.046,1,goal,1201
429,3,50.814,19.798,280.744,0.000,0.016,1,goal,1204
430,2,-199.652,13.271,104.057,0.000,0.009,0,collision,1206
431,1,0.000,0.000,0.000,0.000,0.000,0,not_found,1207
432,6,-205.795,2.918,116.371,0.000,0.082,0,collision,1213
